Team,wOBA_7d,wOBA_14d,wRCP1st
Ath,,0.4321428571428571,
Atl,0.3785714285714285,0.3785714285714285,
Az,0.52,0.52,
Bal,,0.3336538461538462,
Bos,,0.261,
Chc,0.4333333333333333,0.4333333333333333,
Cin,,0.3194444444444444,
Cle,0.1934782608695652,0.1934782608695652,
Col,0.4515625,0.4515625,
Cws,,0.2537037037037037,
Det,,0.3558823529411764,
Hou,,0.4109090909090909,
Kc,,0.3020833333333333,
Laa,,0.43671875,
Lad,0.1285714285714286,0.1285714285714286,
Mia,0.4,0.4,
Mil,,0.327,
Min,,0.264,
Nym,0.324,0.324,
Nyy,,0.292,
Phi,0.408,0.408,
Pit,0.5,0.5,
Sd,,0.2236363636363636,
Sea,0.2083333333333333,0.2083333333333333,
Sf,,0.11125,
Stl,,0.4145454545454545,
Tb,0.4035714285714285,0.4035714285714285,
Tex,0.1357142857142857,0.1357142857142857,
Tor,0.3978260869565218,0.3978260869565218,
Wsh,0.308,0.308,
