Team,wOBA_7d,wOBA_14d,wRCP1st
Ath,0.2770833333333333,0.2991803278688524,
Atl,,0.345,
Az,,0.1131578947368421,
Bal,0.0368421052631578,0.303125,
Bos,,0.3769230769230769,
Chc,0.6267857142857143,0.4891891891891892,
Cin,0.2770833333333333,0.3764150943396226,
Cle,0.308,0.308,
Col,0.233695652173913,0.233695652173913,
Cws,0.4396551724137931,0.3915254237288136,
Det,0.3083333333333333,0.2471014492753623,
Hou,0.2021739130434783,0.2361702127659574,
Kc,0.1975,0.2344444444444444,
Laa,0.4198412698412698,0.4198412698412698,
Lad,0.1714285714285714,0.2191780821917808,
Mia,0.2884615384615384,0.2351851851851851,
Mil,0.2375,0.2382978723404255,
Min,0.2983606557377049,0.2983606557377049,
Nym,0.1392857142857143,0.192156862745098,
Nyy,0.4528571428571428,0.3948529411764706,
Phi,0.3722222222222222,0.3,
Pit,0.302,0.302,
Sd,0.2329787234042553,0.2329787234042553,
Sea,,0.2970588235294117,
Sf,0.296938775510204,0.2905405405405405,
Stl,0.2663461538461538,0.2663461538461538,
Tb,0.4424242424242424,0.4,
Tex,,0.34,
Tor,0.2739130434782609,0.2613636363636363,
Wsh,,0.31,
