Team,wOBA_7d,wOBA_14d,wRCP1st
Ath,,0.2926470588235293,
Atl,0.40078125,0.40078125,
Az,0.4321428571428571,0.4321428571428571,
Bal,,0.3576086956521739,
Bos,,0.246551724137931,
Chc,0.364,0.364,
Cin,,0.2913793103448275,
Cle,0.3196078431372549,0.3196078431372549,
Col,0.4163793103448275,0.4163793103448275,
Cws,,0.2354838709677419,
Det,,0.3925925925925926,
Hou,,0.414516129032258,
Kc,,0.2869565217391304,
Laa,,0.4787499999999999,
Lad,0.258695652173913,0.258695652173913,
Mia,0.3548076923076922,0.3548076923076922,
Mil,,0.2260869565217391,
Min,,0.2016129032258064,
Nym,0.2815217391304347,0.2815217391304347,
Nyy,,0.3,
Phi,0.4235849056603773,0.4235849056603773,
Pit,0.4058823529411764,0.4058823529411764,
Sd,,0.2779411764705882,
Sea,0.1372093023255814,0.1372093023255814,
Sf,,0.0975,
Stl,,0.4210526315789473,
Tb,0.4027777777777778,0.4027777777777778,
Tex,0.1906976744186046,0.1906976744186046,
Tor,0.3361702127659575,0.3361702127659575,
Wsh,0.3428571428571428,0.3428571428571428,
