Team,wOBA_7d,wOBA_14d,wRCP1st
Ath,0.225,0.2991803278688524,
Atl,0.41,0.3372549019607843,
Az,0.3763157894736842,0.286,
Bal,0.2435897435897435,0.31875,
Bos,0.4477272727272727,0.475,
Chc,0.6444444444444444,0.5370689655172414,
Cin,0.3081395348837209,0.36875,
Cle,0.3333333333333333,0.3333333333333333,
Col,0.1129629629629629,0.233695652173913,
Cws,0.3782608695652174,0.3651315789473684,
Det,0.2421052631578947,0.2242647058823529,
Hou,0.2732558139534883,0.253,
Kc,0.3076923076923077,0.2893617021276595,
Laa,0.3566666666666666,0.3711538461538461,
Lad,0.1285714285714286,0.1796610169491525,
Mia,0.3388888888888888,0.2351851851851851,
Mil,0.2761904761904762,0.278,
Min,0.3162790697674418,0.2983606557377049,
Nym,0.1392857142857143,0.1628571428571428,
Nyy,0.298,0.3596385542168674,
Phi,0.1285714285714286,0.3588235294117647,
Pit,0.2916666666666667,0.2952380952380952,
Sd,0.263235294117647,0.2329787234042553,
Sea,,0.2532258064516129,
Sf,0.3106060606060606,0.2905405405405405,
Stl,0.2555555555555555,0.2663461538461538,
Tb,0.15,0.4,
Tex,0.36,0.38,
Tor,0.0999999999999999,0.2613636363636363,
Wsh,,0.31375,
