game_id,player_type,team,team_abbrev,side,id,name,position,order,recent_barrel_pct,recent_barrel_pct_score,recent_f1_era,recent_f1_whip,recent_xfip,recent_xfip_score
777165,NA,New York Mets,NA,away,656849,David Peterson,NA,NA,4.523101194500789,68.86,0.00,0.40,3.4503032003954353,68.32
777165,NA,Baltimore Orioles,NA,home,450203,Charlie Morton,NA,NA,2.6500638569604087,83.55,0.00,1.25,3.496183498792874,66.8
777181,NA,Baltimore Orioles,NA,home,608372,Tomoyuki Sugano,NA,NA,13.092463092463092,14.075,2.25,2.25,4.131184494307702,45.625
777166,NA,Chicago Cubs,NA,away,607067,Colin Rea,NA,NA,6.288220551378446,56.04,1.80,1.80,3.8555265965590144,54.82000000000001
777166,NA,Minnesota Twins,NA,home,663978,Chris Paddack,NA,NA,4.779639715123586,65.6,1.80,2.00,4.039261056997275,48.67999999999999
777168,NA,Miami Marlins,NA,away,615698,Cal Quantrill,NA,NA,6.365079365079365,48.160000000000004,0.00,0.40,3.7823814932119766,57.279999999999994
777168,NA,Cincinnati Reds,NA,home,666157,Nick Lodolo,NA,NA,5.691024774189074,61.54,3.60,1.60,3.6432150492133615,61.9
777169,NA,Seattle Mariners,NA,away,693433,Bryan Woo,NA,NA,5.047059422059421,64.22,0.00,1.00,3.595197868162663,63.5
777169,NA,New York Yankees,NA,home,573186,Marcus Stroman,NA,NA,6.761786600496278,46.25,4.50,1.50,3.8361772486772487,55.45
777170,NA,Tampa Bay Rays,NA,away,671737,Taj Bradley,NA,NA,6.541666666666666,65.82000000000001,0.00,0.80,3.6400096573491405,62.0
777170,NA,Boston Red Sox,NA,home,621111,Walker Buehler,NA,NA,4.395442501324854,79.04,5.40,2.20,3.7302667695043183,58.98
777164,NA,Cleveland Guardians,NA,away,671106,Logan Allen,NA,NA,4.551272121924296,76.39999999999999,1.80,1.60,3.7045511172783896,59.839999999999996
777164,NA,Chicago White Sox,NA,home,686563,Jonathan Cannon,NA,NA,0.0,100.0,0.00,2.00,3.6839720206264324,60.55
777167,NA,Washington Nationals,NA,away,647336,Michael Soroka,NA,NA,5.171804062126642,57.54,1.80,1.20,3.584200363153107,63.85999999999999
777167,NA,St. Louis Cardinals,NA,home,571945,Miles Mikolas,NA,NA,11.00548433048433,48.34,7.20,2.00,3.775726472431078,57.480000000000004
777156,NA,Atlanta Braves,NA,away,675911,Spencer Strider,NA,NA,3.9583333333333335,69.16,0.00,1.60,3.23662121025012,75.42
777156,NA,Athletics,NA,home,676664,JP Sears,NA,NA,5.065734265734266,63.739999999999995,0.00,1.40,3.76121046593119,57.94000000000001
777159,NA,Texas Rangers,NA,away,571578,Patrick Corbin,NA,NA,5.086691086691086,64.78,0.00,1.20,3.5344631369475694,65.52
777159,NA,Los Angeles Angels,NA,home,686799,Jack Kochanowicz,NA,NA,3.6934984520123835,74.28,0.00,1.80,3.6568249270096103,61.42
777158,NA,Arizona Diamondbacks,NA,away,593958,Eduardo Rodriguez,NA,NA,4.572286330800263,78.88,3.60,2.00,3.8470785026313727,55.09999999999999
777158,NA,San Diego Padres,NA,home,681190,Randy Vásquez,NA,NA,6.001831501831502,50.58,0.00,1.00,4.148222380683362,45.04
