game_id,game_datetime,away_team,home_team,away_team_abbrev,home_team_abbrev,away_pitcher,home_pitcher,home_pitcher_recent_f1_era,home_pitcher_recent_f1_whip,away_pitcher_recent_f1_era,away_pitcher_recent_f1_whip,nrfi_grade,home_pitcher_recent_xfip,home_pitcher_recent_xfip_score,away_pitcher_recent_xfip,away_pitcher_recent_xfip_score,home_pitcher_recent_barrel_pct,home_pitcher_recent_barrel_pct_score,away_pitcher_recent_barrel_pct,away_pitcher_recent_barrel_pct_score,home_team_woba3,away_team_woba3,home_team_wrc_plus_1st_inn,away_team_wrc_plus_1st_inn,away_team_score,home_team_score,game_nrfi_score
777271,2025-07-02T16:10:00Z,Athletics,Tampa Bay Rays,ATH,TB,Mitch Spence,Ryan Pepiot,0.00,1.40,1.80,0.80,,3.652543002035395,61.58,3.617897213615021,62.739999999999995,3.898148148148148,77.16,5.3535747285747295,69.92,0.29918032786885246,0.4,125.654673699357,116.20264215540952,35.63,29.48,32.55
777272,2025-07-02T16:35:00Z,St. Louis Cardinals,Pittsburgh Pirates,STL,PIT,Sonny Gray,Mitch Keller,0.00,1.00,0.00,0.75,,3.758708081015971,58.04,3.3804467889808993,70.65,3.8998538011695905,78.58,2.048494983277592,92.15,0.26634615384615384,0.29523809523809524,88.00923382257837,80.01532207298241,14.86,21.78,18.32
777284,2025-07-02T17:05:00Z,Detroit Tigers,Washington Nationals,DET,WSH,Tyler Holton,Trevor Williams,0.00,1.00,3.00,0.67,,4.1444828282881225,45.17999999999999,4.735646428571428,37.440000000000005,7.372035948231721,50.42,4.444444444444445,80.0,0.22426470588235295,0.31375000000000003,121.77660068468457,127.58458255301151,44.67,39.7,42.19
777265,2025-07-02T22:45:00Z,Detroit Tigers,Washington Nationals,DET,WSH,Jack Flaherty,MacKenzie Gore,0.00,1.80,1.80,1.20,,3.7264209164851976,59.120000000000005,3.692709276451518,60.260000000000005,3.619708994708995,82.55999999999999,5.5851336286118896,62.2,0.22426470588235295,0.31375000000000003,121.77660068468457,127.58458255301151,35.26,25.35,30.3
777273,2025-07-02T17:05:00Z,San Diego Padres,Philadelphia Phillies,SD,PHI,Nick Pivetta,Mick Abel,2.25,1.25,1.80,1.00,,4.131546675307451,45.6,3.652215577253629,61.58,7.646520146520146,40.3,7.039173789173789,42.3,0.2329787234042553,0.3588235294117647,116.31010172359888,118.90800978828324,38.86,39.58,39.22
777290,2025-07-02T22:15:00Z,San Diego Padres,Philadelphia Phillies,SD,PHI,Dylan Cease,Cristopher Sánchez,0.00,0.60,0.00,0.80,,3.405878921456061,69.8,3.5305850183376335,65.64,2.4144276775855724,97.5,3.0954855954855955,89.2,0.2329787234042553,0.3588235294117647,116.31010172359888,118.90800978828324,27.52,19.36,23.44
777289,2025-07-02T17:10:00Z,Milwaukee Brewers,New York Mets,MIL,NYM,Freddy Peralta,Clay Holmes,0.00,1.25,1.80,1.00,,3.5873869771429243,63.75,3.662558223315183,61.25999999999999,4.755892255892256,64.2,6.236453201970443,57.42,0.278,0.16285714285714287,120.64096152466637,95.47785304424193,24.86,28.88,26.87
777276,2025-07-02T23:10:00Z,Milwaukee Brewers,New York Mets,MIL,NYM,Jacob Misiorowski,Blade Tidwell,0.00,0.00,0.00,0.33,,3.6508244503664224,61.65,3.639958610495196,62.0,1.9230769230769231,93.95,2.3923444976076556,92.63333333333333,0.278,0.16285714285714287,120.64096152466637,95.47785304424193,16.46,25.22,20.84
777294,2025-07-02T18:30:00Z,Cincinnati Reds,Boston Red Sox,CIN,BOS,Brady Singer,Richard Fitts,13.50,3.00,0.00,1.00,,6.386724137931035,23.1,3.54987716245556,65.0,13.333333333333334,23.8,7.271895920171781,44.339999999999996,0.36875,0.475,123.17742322803144,114.16453909046716,41.61,69.36,55.48
777275,2025-07-02T22:40:00Z,Minnesota Twins,Miami Marlins,MIN,MIA,Simeon Woods Richardson,Janson Junk,0.00,0.50,0.00,1.50,,4.11833424457021,46.08,3.7512856993776564,58.3,4.73890608875129,63.06,2.3941532258064515,87.225,0.2983606557377049,0.23518518518518516,88.11078278940191,95.4277961415584,19.42,29.65,24.54
