game_id,game_datetime,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_recent_f1_era,home_pitcher_recent_f1_whip,away_pitcher_recent_f1_era,away_pitcher_recent_f1_whip,nrfi_grade,home_pitcher_recent_xfip,home_pitcher_recent_xfip_score,away_pitcher_recent_xfip,away_pitcher_recent_xfip_score,home_pitcher_recent_barrel_pct,home_pitcher_recent_barrel_pct_score,away_pitcher_recent_barrel_pct,away_pitcher_recent_barrel_pct_score,home_team_woba3,away_team_woba3,home_team_wrc_plus_1st_inn,away_team_wrc_plus_1st_inn,away_team_score,home_team_score,game_nrfi_score
777283,2025-07-01T19:07:00Z,New York Yankees,Toronto Blue Jays,Max Fried,Kevin Gausman,0.00,1.20,0.00,1.40,,3.7569617964101747,58.1,3.422735534108938,69.22,4.060317460317461,75.64,1.6550916241318716,100.0,0.35963855421686747,0.26136363636363635,102.71335900463926,161.31803788443312,25.55,29.46,27.51
777290,2025-07-01T22:35:00Z,San Diego Padres,Philadelphia Phillies,Nick Pivetta,Cristopher Sánchez,0.00,0.60,1.80,1.00,,3.405878921456061,69.8,3.652215577253629,61.58,2.4144276775855724,97.5,7.039173789173789,42.3,0.2329787234042553,0.3588235294117647,116.31010172359888,118.90800978828324,38.86,19.36,29.11
777288,2025-07-01T22:40:00Z,St. Louis Cardinals,Pittsburgh Pirates,Andre Pallante,Paul Skenes,0.00,0.40,1.80,1.40,,3.400263201468271,69.99999999999999,3.5231897654497715,65.9,2.5327924273157536,89.52000000000001,3.550738916256158,74.58000000000001,0.26634615384615384,0.29523809523809524,88.00923382257837,80.01532207298241,17.92,15.3,16.61
777293,2025-07-01T22:40:00Z,Minnesota Twins,Miami Marlins,Joe Ryan,Edward Cabrera,2.25,1.00,0.00,0.60,,3.455016137190796,68.16,3.6835151050600343,60.55999999999999,4.64619648700995,67.9,3.699197860962567,81.44,0.2983606557377049,0.23518518518518516,88.11078278940191,95.4277961415584,20.38,21.61,20.99
777284,2025-07-01T22:45:00Z,Detroit Tigers,Washington Nationals,Jack Flaherty,Trevor Williams,0.00,1.00,1.80,1.20,,4.1444828282881225,45.17999999999999,3.692709276451518,60.260000000000005,7.372035948231721,50.42,5.5851336286118896,62.2,0.22426470588235295,0.31375000000000003,121.77660068468457,127.58458255301151,35.26,39.7,37.48
777286,2025-07-01T23:05:00Z,Athletics,Tampa Bay Rays,Jeffrey Springs,Shane Baz,0.00,0.80,0.00,0.33,,3.4651539641377043,67.8,3.740641341991342,58.660000000000004,2.1064814814814814,87.03999999999999,4.2530044275774825,81.92,0.29918032786885246,0.4,125.654673699357,116.20264215540952,34.31,25.02,29.66
777294,2025-07-01T23:10:00Z,Cincinnati Reds,Boston Red Sox,Brady Singer,Richard Fitts,13.50,3.00,0.00,1.00,,6.386724137931035,23.1,3.54987716245556,65.0,13.333333333333334,23.8,7.271895920171781,44.339999999999996,0.36875,0.475,123.17742322803144,114.16453909046716,41.61,69.36,55.48
777289,2025-07-01T23:10:00Z,Milwaukee Brewers,New York Mets,Freddy Peralta,Clay Holmes,0.00,1.20,1.80,1.00,,3.6229800042495506,62.56,3.662558223315183,61.25999999999999,5.343175343175344,57.96,6.236453201970443,57.42,0.278,0.16285714285714287,120.64096152466637,95.47785304424193,24.86,30.78,27.82
777298,2025-07-01T23:15:00Z,Los Angeles Angels,Atlanta Braves,Tyler Anderson,Didier Fuentes,0.00,0.00,0.00,1.40,,4.751656042128603,27.8,3.7039112755335495,59.86,6.0661764705882355,56.2,5.686757409583497,61.6,0.37115384615384617,0.3372549019607843,95.69446809327964,135.10657581197043,38.24,45.37,41.8
777287,2025-07-02T00:05:00Z,Cleveland Guardians,Chicago Cubs,Gavin Williams,Matthew Boyd,3.60,0.60,0.00,1.00,,4.002148677056905,49.940000000000005,3.59108794874782,63.620000000000005,4.633770024013927,74.42,2.0737327188940093,96.08000000000001,0.3333333333333333,0.5370689655172414,119.78681714924718,86.86663777044456,25.99,35.9,30.95
777282,2025-07-02T00:05:00Z,Baltimore Orioles,Texas Rangers,Brandon Young,Jacob deGrom,0.00,0.60,0.00,0.00,,3.664525521917953,61.19999999999999,3.678913043478261,60.7,0.7407407407407407,97.97999999999999,4.761904761904762,74.8,0.31875000000000003,0.38,88.36724698069314,100.46104647092106,30.82,20.95,25.88
777285,2025-07-02T00:40:00Z,Houston Astros,Colorado Rockies,Colton Gordon,Chase Dollander,0.00,1.20,0.00,1.75,,3.9713324310841416,50.919999999999995,3.917301798260288,52.75999999999999,3.7957692037388435,71.47999999999999,4.6051381051381055,68.47999999999999,0.253,0.23369565217391305,56.98953714034554,80.87513529031497,22.48,21.82,22.15
777281,2025-07-02T01:40:00Z,Kansas City Royals,Seattle Mariners,Michael Lorenzen,Emerson Hancock,5.40,1.00,1.80,0.60,,3.8493175256817986,55.02,3.758864455860004,58.02,4.326267997667592,71.46000000000001,4.446537235583889,70.58000000000001,0.28936170212765955,0.2532258064516129,155.5597816083422,102.20325518826068,25.33,35.23,30.28
777278,2025-07-02T01:40:00Z,San Francisco Giants,Arizona Diamondbacks,Hayden Birdsong,Zac Gallen,1.80,0.80,1.80,0.80,,3.554309200339901,64.88000000000001,3.83998708793352,55.339999999999996,12.397395707740534,26.52,4.628571428571428,68.16,0.2905405405405405,0.28600000000000003,120.59502547078948,85.88685892222207,25.08,42.26,33.67
777280,2025-07-02T02:10:00Z,Chicago White Sox,Los Angeles Dodgers,Shane Smith,Yoshinobu Yamamoto,1.80,1.40,0.00,1.50,,3.5445371678129596,65.17999999999999,3.9848637150892587,50.5,4.9617028383168975,63.220000000000006,3.5120793185309314,81.97500000000001,0.3651315789473684,0.17966101694915254,121.60694674651172,109.34205986911556,24.53,33.2,28.87
