game_id,player_type,team,team_abbrev,side,id,name,position,order,recent_Barrel%,recent_Barrel%_score,recent_xFIP,recent_xFIP_score
777306,NA,San Diego Padres,NA,away,663362,Matt Waldron,NA,NA,,,,
777306,NA,Philadelphia Phillies,NA,home,554430,Zack Wheeler,NA,NA,2.5418275418275416,85.1,3.3265693488097585,72.42500000000001
777299,NA,St. Louis Cardinals,NA,away,607200,Erick Fedde,NA,NA,4.196428571428571,79.64,3.8168362367043662,56.1
777299,NA,Pittsburgh Pirates,NA,home,571760,Andrew Heaney,NA,NA,5.902298850574712,57.1,3.8267267181331257,55.779999999999994
777295,NA,New York Yankees,NA,away,607074,Carlos Rodón,NA,NA,6.651515151515151,59.260000000000005,3.493114999324883,66.88
777295,NA,Toronto Blue Jays,NA,home,453286,Max Scherzer,NA,NA,3.571428571428571,91.8,3.635174418604651,62.2
777300,NA,Cincinnati Reds,NA,away,695505,Chase Burns,NA,NA,3.4482758620689653,93.6,3.8576562500000002,54.7
777300,NA,Boston Red Sox,NA,home,676979,Garrett Crochet,NA,NA,2.7485380116959064,85.4,3.409874966771638,69.67999999999999
777296,NA,Athletics,NA,away,682052,Jacob Lopez,NA,NA,2.4,80.0,3.567430153527687,64.4
777296,NA,Tampa Bay Rays,NA,home,656876,Drew Rasmussen,NA,NA,2.6515151515151514,79.26,3.61720811284935,62.779999999999994
777292,NA,Baltimore Orioles,NA,away,669432,Trevor Rogers,NA,NA,1.1627906976744187,100.0,3.628614123581337,62.400000000000006
777292,NA,Texas Rangers,NA,home,571578,Patrick Corbin,NA,NA,5.596495008259714,57.5,3.657138864384689,61.42
777297,NA,Kansas City Royals,NA,away,608379,Michael Wacha,NA,NA,3.6415130568356373,80.5,3.654051571229585,61.54
777297,NA,Seattle Mariners,NA,home,669923,George Kirby,NA,NA,3.3846153846153846,76.12,3.878019082206454,54.06
777291,NA,San Francisco Giants,NA,away,657277,Logan Webb,NA,NA,2.965507610668901,83.35999999999999,3.5274947500842666,65.75999999999999
777291,NA,Arizona Diamondbacks,NA,home,669194,Ryne Nelson,NA,NA,5.7375535106347115,60.9,3.969203491055513,51.04
