game_id,player_type,team,team_abbrev,side,id,name,position,order,recent_barrel_pct,recent_barrel_pct_score,recent_f1_era,recent_f1_whip,recent_xfip,recent_xfip_score
777263,NA,Minnesota Twins,NA,away,701581,David Festa,NA,NA,4.585659551176792,77.32000000000001,3.60,1.40,3.686589456708627,60.43999999999998
777263,NA,Miami Marlins,NA,home,691587,Eury Pérez,NA,NA,4.032604032604032,78.36,0.00,1.00,4.042691481324616,48.6
777264,NA,Houston Astros,NA,away,687888,Brandon Walter,NA,NA,3.405171405171405,85.24,1.80,1.00,3.5497945577340415,65.0
777264,NA,Colorado Rockies,NA,home,607536,Kyle Freeland,NA,NA,6.82619849286516,48.73333333333333,2.25,2.00,3.847872804976421,55.06666666666666
777258,NA,Detroit Tigers,NA,away,608650,Dietrich Enns,NA,NA,4.0,64.3,4.50,3.00,3.792300193050193,56.9
777258,NA,Washington Nationals,NA,home,663623,Jake Irvin,NA,NA,8.564310297353387,44.46,4.50,2.00,3.8053779397431535,56.480000000000004
777260,NA,New York Yankees,NA,away,657376,Clarke Schmidt,NA,NA,4.703703703703704,67.4,1.50,1.83,3.8396298960996944,55.339999999999996
777260,NA,Toronto Blue Jays,NA,home,605135,Chris Bassitt,NA,NA,2.1833976833976836,92.24,1.50,1.17,3.6233520977355766,62.56
777257,NA,Milwaukee Brewers,NA,away,500779,Jose Quintana,NA,NA,4.16439393939394,74.8,0.00,1.60,3.826765006048388,55.779999999999994
777257,NA,New York Mets,NA,home,656849,David Peterson,NA,NA,4.523101194500789,68.86,0.00,0.50,3.4503032003954353,68.32
777261,NA,Los Angeles Angels,NA,away,667755,José Soriano,NA,NA,4.896096096096096,66.66,0.00,2.00,3.137265603804006,78.75999999999999
777261,NA,Atlanta Braves,NA,home,693821,Bryce Elder,NA,NA,9.302152651744304,53.17999999999999,1.80,2.20,3.4687196739214,67.72
777259,NA,Cleveland Guardians,NA,away,676282,Joey Cantillo,NA,NA,0.0,100.0,0.00,1.00,3.243809523809524,75.2
777259,NA,Chicago Cubs,NA,home,690990,Cade Horton,NA,NA,7.688071188071189,53.919999999999995,0.00,1.83,3.6455629800307223,61.8
777256,NA,San Francisco Giants,NA,away,592662,Robbie Ray,NA,NA,5.825165682924303,62.8,0.00,0.50,3.6304048769694632,62.32000000000001
777256,NA,Arizona Diamondbacks,NA,home,694297,Brandon Pfaadt,NA,NA,6.907407407407407,59.879999999999995,0.00,2.00,3.6644263435078295,61.2
777251,NA,Kansas City Royals,NA,away,607625,Seth Lugo,NA,NA,4.027328992846234,76.74000000000001,0.00,0.67,3.5851614798498006,63.839999999999996
777251,NA,Seattle Mariners,NA,home,688138,Logan Evans,NA,NA,8.245877061469265,46.8,0.00,1.00,3.590999612553274,63.65
777253,NA,Chicago White Sox,NA,away,650644,Aaron Civale,NA,NA,6.770357265713303,49.14,1.80,1.60,3.7577838731696884,58.08
777253,NA,Los Angeles Dodgers,NA,home,669160,Dustin May,NA,NA,4.292219274977895,72.96,0.00,1.20,3.6168002709930094,62.760000000000005
