game_id,player_type,team,team_abbrev,side,id,name,position,order,recent_barrel_pct,recent_barrel_pct_score,recent_f1_era,recent_f1_whip,recent_xfip,recent_xfip_score
777008,NA,Miami Marlins,NA,away,615698,Cal Quantrill,NA,NA,4.6401098901098905,68.4,0.00,0.50,3.643965620173863,61.875
777008,NA,Milwaukee Brewers,NA,home,642547,Freddy Peralta,NA,NA,2.8159340659340657,81.2,0.00,0.50,3.628407814984102,62.400000000000006
777014,NA,Arizona Diamondbacks,NA,away,669194,Ryne Nelson,NA,NA,3.3971471471471473,81.75,4.50,1.50,4.007910855107291,49.725
777014,NA,Pittsburgh Pirates,NA,home,681347,Mike Burrows,NA,NA,6.371428571428571,43.260000000000005,0.00,0.75,3.7911517991979764,56.94000000000001
777020,NA,Colorado Rockies,NA,away,607536,Kyle Freeland,NA,NA,3.911665676371559,76.25,0.00,1.50,3.7740820705616587,57.525
777020,NA,Baltimore Orioles,NA,home,665152,Dean Kremer,NA,NA,2.438423645320197,86.075,2.25,1.50,3.6586631476333418,61.375
777015,NA,Philadelphia Phillies,NA,away,592836,Taijuan Walker,NA,NA,2.6785714285714284,75.0,0.00,1.50,3.8448570841165415,55.150000000000006
777015,NA,New York Yankees,NA,home,701542,Will Warren,NA,NA,5.317460317460317,52.92,5.40,3.00,3.7851849892849847,57.14
777012,NA,Los Angeles Dodgers,NA,away,686218,Emmet Sheehan,NA,NA,3.532608695652174,78.10000000000001,0.00,1.00,3.981332417582417,50.63333333333333
777012,NA,Boston Red Sox,NA,home,678394,Brayan Bello,NA,NA,3.40950040950041,82.64000000000001,4.50,1.25,3.8010943304007823,56.64
777013,NA,Tampa Bay Rays,NA,away,641793,Zack Littell,NA,NA,4.929456508403876,71.125,0.00,1.50,3.7597235715197366,58.025000000000006
777013,NA,Cincinnati Reds,NA,home,607259,Nick Martinez,NA,NA,2.1954887218045114,93.53999999999999,0.00,1.40,4.058404859777949,48.08
777016,NA,Toronto Blue Jays,NA,away,621244,José Berríos,NA,NA,8.214794215795328,29.779999999999994,0.00,1.20,3.8702024112660096,54.31999999999999
777016,NA,Detroit Tigers,NA,home,672456,Keider Montero,NA,NA,5.401234567901234,65.66666666666667,0.00,0.50,3.8384772921855546,55.36666666666667
777005,NA,San Diego Padres,NA,away,601713,Nick Pivetta,NA,NA,4.372865038187619,78.61999999999999,0.00,1.00,3.668700548077895,61.06
777005,NA,St. Louis Cardinals,NA,home,571945,Miles Mikolas,NA,NA,12.570512820512821,30.95,6.75,1.75,3.7473572201050573,58.425
777017,NA,Chicago Cubs,NA,away,684007,Shota Imanaga,NA,NA,4.203610868933449,81.94,0.00,1.00,4.1769293312652165,44.099999999999994
777017,NA,Chicago White Sox,NA,home,605288,Adrian Houser,NA,NA,2.6785714285714284,75.0,0.00,1.50,3.9179844632001735,52.75
777009,NA,Atlanta Braves,NA,away,666214,Joey Wentz,NA,NA,7.142857142857142,50.0,0.00,0.00,3.43680637254902,68.775
777009,NA,Texas Rangers,NA,home,543135,Nathan Eovaldi,NA,NA,3.345864661654135,75.0,0.00,1.75,3.4665556051507114,67.77499999999999
777007,NA,Athletics,NA,away,605488,Jeffrey Springs,NA,NA,4.555774462895206,69.03999999999999,0.00,0.80,4.097976166565992,46.739999999999995
777007,NA,Houston Astros,NA,home,687473,Ryan Gusto,NA,NA,15.840307840307839,43.08,0.00,1.00,3.9300252462899037,52.339999999999996
777011,NA,Washington Nationals,NA,away,669022,MacKenzie Gore,NA,NA,4.259259259259259,71.275,2.25,2.75,3.777036271225513,57.449999999999996
777011,NA,Minnesota Twins,NA,home,805673,Zebby Matthews,NA,NA,8.695652173913043,18.6,0.00,2.00,3.4539285714285715,68.2
777006,NA,Seattle Mariners,NA,away,693433,Bryan Woo,NA,NA,3.7270463741051976,76.675,0.00,1.50,3.6653667871356443,61.150000000000006
777006,NA,Los Angeles Angels,NA,home,667755,José Soriano,NA,NA,3.363529046287667,85.38,0.00,0.60,3.256398303545916,74.8
777004,NA,New York Mets,NA,away,605280,Clay Holmes,NA,NA,2.7499070977331845,86.42,1.80,1.00,3.649527327545642,61.67999999999999
777004,NA,San Francisco Giants,NA,home,657277,Logan Webb,NA,NA,8.75946080116088,39.36,0.00,0.60,3.6397526811279115,62.0
777010,NA,Cleveland Guardians,NA,away,668909,Gavin Williams,NA,NA,4.000139645300935,77.14,1.80,0.60,3.6057234020950863,63.120000000000005
777010,NA,Kansas City Royals,NA,home,608379,Michael Wacha,NA,NA,3.4710038986354776,77.62,0.00,0.80,3.757766652638529,58.08
