game_id,game_datetime,away_team,home_team,away_team_abbrev,home_team_abbrev,away_pitcher,home_pitcher,home_pitcher_recent_f1_era,home_pitcher_recent_f1_whip,away_pitcher_recent_f1_era,away_pitcher_recent_f1_whip,nrfi_grade,home_pitcher_recent_xfip,home_pitcher_recent_xfip_score,away_pitcher_recent_xfip,away_pitcher_recent_xfip_score,home_pitcher_recent_barrel_pct,home_pitcher_recent_barrel_pct_score,away_pitcher_recent_barrel_pct,away_pitcher_recent_barrel_pct_score,home_team_woba3,away_team_woba3,home_team_wrc_plus_1st_inn,away_team_wrc_plus_1st_inn,away_team_score,home_team_score,game_nrfi_score
776927,2025-07-31T17:05:00Z,Tampa Bay Rays,New York Yankees,TB,NYY,Ryan Pepiot,Marcus Stroman,2.25,2.00,3.60,1.20,,3.675484545672859,60.8,3.8595566099833882,54.660000000000004,5.404648956356736,65.425,5.810455775973017,51.260000000000005,0.4027777777777778,0.3,147.54564203203742,112.13540022115238,34.1,41.25,37.67
776928,2025-07-31T23:10:00Z,Atlanta Braves,Cincinnati Reds,ATL,CIN,Carlos Carrasco,Andrew Abbott,2.25,1.25,NA,NA,,3.96095823406627,51.325,,,2.4743589743589745,95.225,,,0.40078125,0.29137931034482756,108.13880188632818,114.49555181479434,11.1,32.2,21.65
776923,2025-08-01T01:40:00Z,Texas Rangers,Seattle Mariners,TEX,SEA,Kumar Rocker,George Kirby,0.00,1.00,0.00,1.25,,3.541657948794305,65.27499999999999,3.6806574819730464,60.625,4.705802775655717,75.425,9.166666666666666,36.9,0.19069767441860463,0.1372093023255814,137.7042646162813,93.90342404956633,32.13,27.89,30.01
