game_id,game_datetime,away_team,home_team,away_team_abbrev,home_team_abbrev,away_pitcher,home_pitcher,home_pitcher_recent_f1_era,home_pitcher_recent_f1_whip,away_pitcher_recent_f1_era,away_pitcher_recent_f1_whip,nrfi_grade,home_pitcher_recent_xfip,home_pitcher_recent_xfip_score,away_pitcher_recent_xfip,away_pitcher_recent_xfip_score,home_pitcher_recent_barrel_pct,home_pitcher_recent_barrel_pct_score,away_pitcher_recent_barrel_pct,away_pitcher_recent_barrel_pct_score,home_team_woba3,away_team_woba3,home_team_wrc_plus_1st_inn,away_team_wrc_plus_1st_inn,away_team_score,home_team_score,game_nrfi_score
777026,2025-07-23T16:05:00Z,Cincinnati Reds,Washington Nationals,CIN,WSH,Nick Lodolo,Michael Soroka,0.00,1.00,3.60,1.00,,3.665237256406241,61.150000000000006,3.677669813664596,60.739999999999995,3.279569892473118,74.57499999999999,6.579913663077964,49.8,0.340625,0.3810810810810811,124.06264400792064,108.13880188632818,36.94,29.72,33.33
777037,2025-07-23T16:10:00Z,San Diego Padres,Miami Marlins,SD,MIA,Dylan Cease,Sandy Alcantara,0.00,2.25,0.00,0.50,,3.81658751393534,56.12500000000001,3.531968837524045,65.57499999999999,4.957874377130868,70.025,4.909924845269673,63.224999999999994,0.2276595744680851,0.3852941176470588,91.81804611045,114.02924143374186,32.38,24.04,28.21
777041,2025-07-23T16:15:00Z,San Francisco Giants,Atlanta Braves,SF,ATL,Justin Verlander,Spencer Strider,1.80,2.00,0.00,1.00,,3.3833109282121945,70.52,3.8980306674040905,53.4,4.868386243386243,64.72,3.2818379877203405,78.66,0.10757575757575757,0.42613636363636365,114.49555181479434,88.60726728291208,29.53,21.88,25.7
777029,2025-07-23T16:35:00Z,Detroit Tigers,Pittsburgh Pirates,DET,PIT,Troy Melton,Bailey Falter,4.50,2.25,NA,NA,,3.937855952618529,52.075,,,8.845238095238095,32.15,,,0.363953488372093,0.43714285714285717,95.68791566338017,126.87736665732712,20.41,42.44,31.42
777034,2025-07-23T17:10:00Z,Los Angeles Angels,New York Mets,LAA,NYM,Brock Burke,Sean Manaea,0.00,0.00,NA,NA,,3.3897263513513516,70.35,3.394025641025641,70.22,2.5,85.7,0.0,100.0,0.43272727272727274,0.275,119.62506608584292,139.6463706203038,25.79,29.25,27.52
777031,2025-07-23T18:20:00Z,Kansas City Royals,Chicago Cubs,KC,CHC,Seth Lugo,Colin Rea,0.00,0.25,4.50,1.75,,3.7443249776736893,58.55,3.585408789719768,63.825,3.8721804511278193,75.5,9.527972027972028,37.875,0.29500000000000004,0.365625,125.84677979282672,100.61823497704026,41.06,30.34,35.7
777028,2025-07-23T19:10:00Z,St. Louis Cardinals,Colorado Rockies,STL,COL,Andre Pallante,Tanner Gordon,NA,NA,2.25,1.50,,,,3.5568166300611157,64.775,,,5.318994601889338,66.875,0.41454545454545455,0.4231707317073171,70.71384090349474,90.32752393167787,30.83,10.13,20.48
777032,2025-07-23T19:40:00Z,Houston Astros,Arizona Diamondbacks,HOU,AZ,Brandon Walter,Brandon Pfaadt,0.00,2.25,6.75,1.00,,3.7298649524632674,59.0,3.658242185929006,61.375,8.049908424908425,47.5,2.456884513336126,97.05,0.4612244897959184,0.47820512820512817,111.6906215920174,88.17046144507255,27.04,45.2,36.12
777024,2025-07-23T19:40:00Z,Milwaukee Brewers,Seattle Mariners,MIL,SEA,Quinn Priester,Luis Castillo,0.00,0.80,0.00,0.67,,3.8324177666008117,55.6,3.1833402870085576,77.225,2.7576461478900502,84.08,5.722570532915361,51.625,0.2189189189189189,0.16666666666666666,137.7042646162813,93.08126294027416,17.46,27.92,22.69
777022,2025-07-23T20:10:00Z,Minnesota Twins,Los Angeles Dodgers,MIN,LAD,Chris Paddack,Tyler Glasnow,0.00,0.00,3.60,1.80,,3.539389285714286,65.35,4.087065036767748,47.08,0.0,100.0,4.721239858539629,66.84,0.264,0.267741935483871,118.80879392417606,91.92032876172264,28.54,22.88,25.71
777036,2025-07-23T22:40:00Z,Baltimore Orioles,Cleveland Guardians,BAL,CLE,Zach Eflin,Slade Cecconi,2.25,1.75,9.00,5.00,,3.864626955086813,54.5,4.4285,35.7,5.877023223082336,49.4,9.090909090909092,13.0,0.3336538461538462,0.34864864864864864,94.6801168589996,103.87061018493742,49.72,32.49,41.11
777038,2025-07-23T23:05:00Z,Boston Red Sox,Philadelphia Phillies,BOS,PHI,Lucas Giolito,Jesús Luzardo,0.00,1.00,2.25,1.50,,3.44598384973326,68.475,3.9589888875079096,51.35,6.994047619047619,41.15,5.196360153256705,61.075,0.24772727272727274,0.40757575757575754,114.82201421800644,130.29625872209192,42.38,30.27,36.33
777027,2025-07-23T23:07:00Z,New York Yankees,Toronto Blue Jays,NYY,TOR,Max Fried,Chris Bassitt,2.25,2.25,0.00,1.25,,3.513306037952746,64.22,3.5730863453021198,64.225,3.0833333333333335,80.24000000000001,2.579365079365079,84.575,0.292,0.31551724137931036,111.58082992639736,147.54564203203742,29.88,22.69,26.29
777030,2025-07-23T23:35:00Z,Chicago White Sox,Tampa Bay Rays,CWS,TB,Jonathan Cannon,Taj Bradley,0.00,0.40,0.00,1.25,,3.583258429925574,63.9,3.767543670245876,57.75,3.3376436781609193,86.6,2.530589543937708,85.275,0.2765957446808511,0.3878378378378378,112.13540022115238,113.75968522486734,30.42,23.53,26.98
777033,2025-07-24T00:05:00Z,Athletics,Texas Rangers,ATH,TEX,JP Sears,Patrick Corbin,0.00,1.20,0.00,0.50,,3.416212771011721,69.46,3.7423751915639603,58.599999999999994,4.628019323671498,62.75999999999999,5.194805194805195,60.2,0.4321428571428571,0.14655172413793102,93.90342404956633,113.71799051888412,26.77,28.57,27.67
