Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2025,"LAA",440,0.09090909,0.268181818,0.33898305,0.273195876,0.35,0.523195876,0.873195876,0.25,0.319838056,72.92212905396786,21.649754662412068,0.37441191537813706,140.86551037937173
2025,"BAL",404,0.054455445,0.237623762,0.229166666,0.25606469,0.30940594,0.409703504,0.719109444,0.153638814,0.312030075,47.3136389547149,0.2362770133773217,0.3140077263411909,101.54522319846774
2025,"BOS",466,0.098712446,0.244635193,0.403508771,0.272058823,0.356223175,0.480392156,0.836615331,0.208333333,0.333333333,72.85952361099586,18.557418005393608,0.36275675483527614,129.47356895384124
2025,"CHW",422,0.092417061,0.225118483,0.410526315,0.24010554,0.312796208,0.461741424,0.774537632,0.221635884,0.269662921,56.35239513208829,7.177526965641604,0.3344122202475489,113.87306829925626
2025,"CLE",398,0.087939698,0.238693467,0.368421052,0.233983286,0.302267002,0.370473537,0.672740539,0.136490251,0.2890625,41.08845611031663,-5.28973708931793,0.2961856263755548,89.93842645352407
2025,"DET",446,0.10089686,0.221973094,0.454545454,0.269035532,0.347533632,0.467005076,0.814538708,0.197969544,0.319148936,66.394297247022,14.422754113763176,0.35345771066811055,128.58015514412673
2025,"KCR",428,0.060747663,0.203271028,0.298850574,0.265822784,0.317757009,0.420253164,0.738010173,0.15443038,0.316666666,52.750940027964155,2.876903119814437,0.3216321714849116,102.06833974909726
2025,"MIN",411,0.08029197,0.267639902,0.3,0.233516483,0.304878048,0.373626373,0.678504421,0.14010989,0.297188755,43.104123295597425,-4.788935511060366,0.2989730359577551,89.57398045174605
2025,"NYY",447,0.085011185,0.246085011,0.345454545,0.281795511,0.347533632,0.556109725,0.903643357,0.274314214,0.322097378,77.47223784334165,25.384166586465657,0.38359219679671724,149.37335626419764
2025,"ATH",446,0.10089686,0.226457399,0.445544554,0.255050505,0.33483146,0.439393939,0.774225399,0.184343434,0.301075268,61.14285971202521,9.171316578766403,0.3386948361825407,114.77577689557336
2025,"SEA",431,0.097447795,0.225058004,0.43298969,0.257894736,0.34338747,0.489473684,0.832861154,0.231578948,0.284615384,66.74015477181823,16.516533492817,0.36089146994659355,139.4063018420829
2025,"TBR",422,0.075829383,0.21563981,0.351648351,0.2578125,0.322274881,0.434895833,0.757170714,0.177083333,0.29602888,55.07542824311551,5.900560076668833,0.3306527475327677,112.09463817623877
2025,"TEX",424,0.082547169,0.214622641,0.384615384,0.244094488,0.311320754,0.377952755,0.689273509,0.133858267,0.287234042,46.290430171231954,-3.117494242449075,0.30414630810044846,94.72937074469681
2025,"TOR",424,0.08490566,0.193396226,0.43902439,0.272727272,0.333333333,0.428571428,0.761904761,0.155844156,0.315068493,56.07377562802784,6.66585121434681,0.332895958113614,113.14872154111549
2025,"ARI",420,0.071428571,0.233333333,0.306122448,0.248677248,0.307875894,0.455026455,0.762902349,0.206349207,0.286245353,53.83257662913687,4.890764709924537,0.32761055373348885,110.11132392742313
2025,"ATL",419,0.095465393,0.257756563,0.37037037,0.248663101,0.318181818,0.438502673,0.756684491,0.189839572,0.300395256,53.976545860737204,5.151262065142026,0.32838906169508064,110.89629586135808
2025,"CHC",438,0.105022831,0.232876712,0.450980392,0.25388601,0.335616438,0.474093264,0.809709702,0.220207254,0.292134831,63.928278010434994,12.888959866113552,0.34984089372909233,127.74224544755523
2025,"CIN",436,0.103211009,0.23853211,0.432692307,0.264248704,0.341743119,0.414507772,0.756250891,0.150259068,0.329670329,57.57785326478107,6.771591367693964,0.332576972902368,108.85054930348117
2025,"COL",390,0.058974358,0.294871794,0.2,0.217032967,0.264781491,0.401098901,0.665880392,0.184065934,0.269230769,37.71104875668053,-7.734919454016641,0.2883973729947539,70.60418198303316
2025,"MIA",410,0.080487804,0.226829268,0.354838709,0.239892183,0.302439024,0.385444743,0.687883767,0.14555256,0.285185185,43.90279467200393,-3.87373601103669,0.30154279964726144,90.93710670068505
2025,"HOU",406,0.061576354,0.204433497,0.301204819,0.254010695,0.305418719,0.368983957,0.674402676,0.114973262,0.299295774,42.135117674254374,-5.175300514317547,0.2974442510769285,89.68800626683398
2025,"LAD",417,0.076738609,0.239808153,0.32,0.25065963,0.306954436,0.480211081,0.787165517,0.229551451,0.278625954,56.447617212844484,7.855389664483648,0.33668519109844874,117.20826036682364
2025,"MIL",418,0.093301435,0.229665071,0.40625,0.249329758,0.320574162,0.359249329,0.679823491,0.109919571,0.308823529,45.048030814499086,-3.6607248574789075,0.30240057615572186,94.7338158733783
2025,"WSN",429,0.086247086,0.216783216,0.397849462,0.263707571,0.335664335,0.446475195,0.78213953,0.182767624,0.309352517,59.407278778482244,9.41671374671535,0.34055216690321344,119.91656637231897
2025,"NYM",429,0.086247086,0.219114219,0.393617021,0.253263707,0.324766355,0.45691906,0.781685415,0.203655353,0.288321167,58.384089293552705,8.393524261785814,0.337704170085228,121.45658878362612
2025,"PHI",450,0.1,0.231111111,0.432692307,0.273182957,0.346666666,0.421052631,0.767719297,0.147869674,0.337979094,60.963430227260844,8.525774599533337,0.3368197435802884,115.05539288173253
2025,"PIT",416,0.091346153,0.252403846,0.361904761,0.229946524,0.305288461,0.398395721,0.703684182,0.168449197,0.284046692,47.0902853387641,-1.385414085979555,0.3091435425270062,95.38432231822199
2025,"STL",420,0.097619047,0.18095238,0.539473684,0.237967914,0.317422434,0.339572192,0.656994626,0.101604278,0.280821917,42.92670496605457,-6.015106953157779,0.2954453558512121,90.00017353672953
