Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2025,"LAA",504,0.091269841,0.289682539,0.315068493,0.258426966,0.337301587,0.483146067,0.820447654,0.224719101,0.318840579,75.54209233303015,16.473858306598103,0.3539265135214442,126.35913001343
2025,"BAL",490,0.063265306,0.222448979,0.284403669,0.261851015,0.320408163,0.435665914,0.756074077,0.173814899,0.304347826,63.075842593584625,5.6483928456645955,0.32775283772118236,109.9452778634717
2025,"BOS",538,0.096654275,0.245353159,0.393939393,0.267515923,0.351301115,0.471337579,0.822638694,0.203821656,0.326086956,81.79975535830546,18.74675951263001,0.3565972723260688,125.000279639121
2025,"CHW",488,0.088114754,0.221311475,0.398148148,0.240362811,0.309426229,0.46031746,0.769743689,0.219954649,0.266025641,64.40701802388887,7.21396603004195,0.33177976786601737,111.56367539171627
2025,"CLE",483,0.093167701,0.225672877,0.412844036,0.24537037,0.319502074,0.405092592,0.724594666,0.159722222,0.295819935,58.16946287050826,1.5624052618442192,0.3171209960618287,103.569652874942
2025,"DET",507,0.092702169,0.23668639,0.391666666,0.253863134,0.327416173,0.437086092,0.764502265,0.183222958,0.307210031,67.2505253774817,7.830694719939958,0.3325992099632173,113.36102318096417
2025,"KCR",493,0.058823529,0.198782961,0.295918367,0.258771929,0.308943089,0.416666666,0.725609755,0.157894737,0.302593659,58.61284188127733,0.8337955022475811,0.3155158840543856,97.868988398799
2025,"MIN",484,0.078512396,0.264462809,0.296875,0.247685185,0.314699792,0.402777777,0.717477569,0.155092592,0.311864406,56.67850106176763,-0.04575542393297227,0.3135147273663902,99.1650185030524
2025,"NYY",521,0.08637236,0.24184261,0.357142857,0.277777777,0.344230769,0.553418803,0.897649572,0.275641026,0.313099041,89.40413694738129,28.343522011327536,0.3805939347298389,146.52858216661085
2025,"ATH",530,0.096226415,0.226415094,0.425,0.27118644,0.345935727,0.483050847,0.828986574,0.211864407,0.315151515,81.3557195990341,19.24031476965123,0.3583513722527906,128.07461960507933
2025,"SEA",499,0.094188376,0.236472945,0.398305084,0.246049661,0.328657314,0.465011286,0.7936686,0.218961625,0.274247491,71.01182699209492,12.529587350845743,0.34455392654529793,127.3766300298057
2025,"TBR",501,0.071856287,0.221556886,0.324324324,0.265350877,0.327345309,0.467105263,0.794450572,0.201754386,0.302469135,70.88826064428153,12.171623248959191,0.3435460929861088,120.13706890361269
2025,"TEX",490,0.087755102,0.220408163,0.398148148,0.235159817,0.306122448,0.358447488,0.664569936,0.123287671,0.281733746,49.860863867572256,-7.566585880347784,0.29439160154790295,87.72927793461014
2025,"TOR",495,0.08080808,0.2,0.404040404,0.265486725,0.323886639,0.411504424,0.735391063,0.146017699,0.310850439,61.23488013769043,3.221436004587538,0.32164863101866564,105.68458568634753
2025,"ARI",496,0.076612903,0.231854838,0.330434782,0.260089686,0.321212121,0.475336322,0.796548443,0.215246636,0.300632911,69.23238673315431,11.101743723014815,0.3410877650434321,119.58873807274462
2025,"ATL",499,0.104208416,0.26252505,0.396946564,0.25,0.329317269,0.434090909,0.763408178,0.184090909,0.307167235,66.29181484946733,7.809575208218142,0.3326566966183214,114.19738733314627
